"X","person_id","offer_id","spent_amount","reward_paid","time","gender","age","became_member_on","income","profile_number","cluster"
1,"00116118485d4dfda04fdbaba9a87b5c",NA,0.7,NA,294,NA,118,20180425,NA,4435,4
2,"00116118485d4dfda04fdbaba9a87b5c",NA,0.2,NA,456,NA,118,20180425,NA,4435,4
3,"00116118485d4dfda04fdbaba9a87b5c",NA,3.19,NA,474,NA,118,20180425,NA,4435,4
4,"0063def0f9c14bc4805322a488839b32",NA,2.76,NA,30,NA,118,20180615,NA,13623,2
5,"0063def0f9c14bc4805322a488839b32",NA,2.06,NA,228,NA,118,20180615,NA,13623,2
6,"0063def0f9c14bc4805322a488839b32",NA,2.39,NA,390,NA,118,20180615,NA,13623,2
7,"0069a50874d846438e58acff5e594725",NA,16.2,NA,162,NA,118,20160503,NA,3214,1
8,"0069a50874d846438e58acff5e594725",NA,0.6,NA,396,NA,118,20160503,NA,3214,1
9,"0069a50874d846438e58acff5e594725",NA,3.61,NA,438,NA,118,20160503,NA,3214,1
10,"0069a50874d846438e58acff5e594725",NA,5.12,NA,618,NA,118,20160503,NA,3214,1
11,"0092a132ead946ceb30d11a1ed513d20",NA,0.74,NA,174,NA,118,20180502,NA,12910,2
12,"0092a132ead946ceb30d11a1ed513d20",NA,0.48,NA,354,NA,118,20180502,NA,12910,2
13,"0092a132ead946ceb30d11a1ed513d20",NA,1.32,NA,552,NA,118,20180502,NA,12910,2
14,"009d10c2c38a4fd795a7bc6ddbbddb78",NA,3.65,NA,30,NA,118,20180627,NA,5667,4
15,"009d10c2c38a4fd795a7bc6ddbbddb78",NA,1.06,NA,48,NA,118,20180627,NA,5667,4
16,"009d10c2c38a4fd795a7bc6ddbbddb78",NA,3.03,NA,150,NA,118,20180627,NA,5667,4
17,"009d10c2c38a4fd795a7bc6ddbbddb78",NA,0.74,NA,204,NA,118,20180627,NA,5667,4
18,"009d10c2c38a4fd795a7bc6ddbbddb78",NA,0.72,NA,288,NA,118,20180627,NA,5667,4
19,"009d10c2c38a4fd795a7bc6ddbbddb78",NA,2.51,NA,480,NA,118,20180627,NA,5667,4
20,"009d10c2c38a4fd795a7bc6ddbbddb78",NA,0.07,NA,684,NA,118,20180627,NA,5667,4
21,"00ad4c2cace94f67a6354ec90d6c6f45",NA,4.89,NA,126,NA,118,20160818,NA,13674,1
22,"00ad4c2cace94f67a6354ec90d6c6f45",NA,0.53,NA,204,NA,118,20160818,NA,13674,1
23,"00ad4c2cace94f67a6354ec90d6c6f45",NA,3.98,NA,240,NA,118,20160818,NA,13674,1
24,"00ad4c2cace94f67a6354ec90d6c6f45",NA,0.51,NA,264,NA,118,20160818,NA,13674,1
25,"00ad4c2cace94f67a6354ec90d6c6f45",NA,1.31,NA,366,NA,118,20160818,NA,13674,1
26,"00ad4c2cace94f67a6354ec90d6c6f45",NA,5.75,NA,450,NA,118,20160818,NA,13674,1
27,"00ad4c2cace94f67a6354ec90d6c6f45",NA,1.44,NA,540,NA,118,20160818,NA,13674,1
28,"00ad4c2cace94f67a6354ec90d6c6f45",NA,2.32,NA,624,NA,118,20160818,NA,13674,1
29,"00b5fb9d842d437e83033ad9e36f7148",NA,2.98,NA,480,NA,118,20180127,NA,14840,2
30,"00b5fb9d842d437e83033ad9e36f7148",NA,0.91,NA,522,NA,118,20180127,NA,14840,2
31,"00b5fb9d842d437e83033ad9e36f7148",NA,3.85,NA,660,NA,118,20180127,NA,14840,2
32,"0100dbd4e8554aa69b73b6ac0547f6bf",NA,2.14,NA,54,NA,118,20171228,NA,9191,2
33,"0100dbd4e8554aa69b73b6ac0547f6bf",NA,1.4,NA,384,NA,118,20171228,NA,9191,2
34,"0100dbd4e8554aa69b73b6ac0547f6bf",NA,3.01,NA,672,NA,118,20171228,NA,9191,2
35,"0106d19a26af41288035afc4b9b6c2c2",NA,3,NA,138,NA,118,20160503,NA,7868,1
36,"0106d19a26af41288035afc4b9b6c2c2",NA,2.1,NA,156,NA,118,20160503,NA,7868,1
37,"0106d19a26af41288035afc4b9b6c2c2",NA,4.77,NA,222,NA,118,20160503,NA,7868,1
38,"0106d19a26af41288035afc4b9b6c2c2",NA,0.55,NA,360,NA,118,20160503,NA,7868,1
39,"0106d19a26af41288035afc4b9b6c2c2",NA,0.77,NA,414,NA,118,20160503,NA,7868,1
40,"0106d19a26af41288035afc4b9b6c2c2",NA,0.31,NA,480,NA,118,20160503,NA,7868,1
41,"0106d19a26af41288035afc4b9b6c2c2",NA,0.85,NA,546,NA,118,20160503,NA,7868,1
42,"0106d19a26af41288035afc4b9b6c2c2",NA,1.4,NA,678,NA,118,20160503,NA,7868,1
43,"0106d19a26af41288035afc4b9b6c2c2",NA,0.85,NA,714,NA,118,20160503,NA,7868,1
44,"012ee55a90bd4d969b0d0cdfaffdf6ab",NA,1.33,NA,36,NA,118,20171211,NA,3318,4
45,"012ee55a90bd4d969b0d0cdfaffdf6ab",NA,1.51,NA,168,NA,118,20171211,NA,3318,4
46,"012ee55a90bd4d969b0d0cdfaffdf6ab",NA,1.06,NA,192,NA,118,20171211,NA,3318,4
47,"012ee55a90bd4d969b0d0cdfaffdf6ab",NA,0.83,NA,366,NA,118,20171211,NA,3318,4
48,"012ee55a90bd4d969b0d0cdfaffdf6ab",NA,0.21,NA,426,NA,118,20171211,NA,3318,4
49,"012ee55a90bd4d969b0d0cdfaffdf6ab",NA,0.87,NA,522,NA,118,20171211,NA,3318,4
50,"012ee55a90bd4d969b0d0cdfaffdf6ab",NA,0.89,NA,540,NA,118,20171211,NA,3318,4
51,"012ee55a90bd4d969b0d0cdfaffdf6ab",NA,0.14,NA,558,NA,118,20171211,NA,3318,4
52,"012ee55a90bd4d969b0d0cdfaffdf6ab",NA,1.11,NA,606,NA,118,20171211,NA,3318,4
