"","person_id","offer_id","spent_amount","reward_paid","time","gender","age","became_member_on","income","profile_number"
"1","0069a50874d846438e58acff5e594725","2906b810c7d4411798c6938adc9daaa5","7.97","2","696",NA,"118","20160503",NA,"3214"
"2","0106d19a26af41288035afc4b9b6c2c2","f19421c1d4aa40978ebb69ca19b0e20d","6.64","5","672",NA,"118","20160503",NA,"7868"
"3","01e91c5bc14148b2a4de0ce819e4c500","f19421c1d4aa40978ebb69ca19b0e20d","7.35","5","426",NA,"118","20170424",NA,"8655"
"4","020354b1aea342cbaa018993f68fba68","2298d6c36e964ae4a3e7e9706d1fb8c2","6.78","3","666",NA,"118","20170910",NA,"2222"
"5","027561a162a54d86b6d45af5071c4d27","9b98b8c7a33c4b65b9aebfe6a799e6d9","6.71","5","474",NA,"118","20171121",NA,"7166"
"6","0295719cd357460cbab54f2392b01d19","2298d6c36e964ae4a3e7e9706d1fb8c2","7.04","3","558",NA,"118","20160906",NA,"14949"
"7","0295719cd357460cbab54f2392b01d19","9b98b8c7a33c4b65b9aebfe6a799e6d9","7.04","5","558",NA,"118","20160906",NA,"14949"
"8","02a00d256444415da8460cd2a3457ea7","2906b810c7d4411798c6938adc9daaa5","2.1","2","336",NA,"118","20151206",NA,"1991"
"9","02a00d256444415da8460cd2a3457ea7","9b98b8c7a33c4b65b9aebfe6a799e6d9","5.42","5","702",NA,"118","20151206",NA,"1991"
"10","02b148f44eee4b9ca7487371472a6781","2298d6c36e964ae4a3e7e9706d1fb8c2","7.11","3","606",NA,"118","20160516",NA,"352"
"11","02b148f44eee4b9ca7487371472a6781","fafdcd668e3743c1bb461111dcafc2a4","2.06","2","660",NA,"118","20160516",NA,"352"
"12","02f446e152254ab7b01e29698932dd01","2298d6c36e964ae4a3e7e9706d1fb8c2","3.95","3","444",NA,"118","20170606",NA,"3376"
"13","032aaa79b15e4103a9e91a786d416734","fafdcd668e3743c1bb461111dcafc2a4","10.96","2","174",NA,"118","20170130",NA,"2421"
"14","032aaa79b15e4103a9e91a786d416734","0b1e1539f2cc45b7b9fa7c272da2e1d7","2.51","5","228",NA,"118","20170130",NA,"2421"
"15","032aaa79b15e4103a9e91a786d416734","fafdcd668e3743c1bb461111dcafc2a4","110.51","2","528",NA,"118","20170130",NA,"2421"
"16","03361f5f681e46ad97796d52caf9afa2","2298d6c36e964ae4a3e7e9706d1fb8c2","3.61","3","690",NA,"118","20160811",NA,"3067"
"17","03533ca5a4244ca3ac48b9c8ccba8332","fafdcd668e3743c1bb461111dcafc2a4","2.79","2","648",NA,"118","20161024",NA,"5509"
"18","037334c596b849cc8f8004e4e663b005","fafdcd668e3743c1bb461111dcafc2a4","8.09","2","432",NA,"118","20170508",NA,"6734"
"19","03ae3b023c2540f4969b64b633be5ede","2298d6c36e964ae4a3e7e9706d1fb8c2","1.49","3","402",NA,"118","20180101",NA,"3517"
"20","04369aa7ac9a4440a794c471ae7c3f77","2298d6c36e964ae4a3e7e9706d1fb8c2","5.06","3","636",NA,"118","20170802",NA,"16741"
"21","04aeb750695a4d9eb3de6ce2ddb7b1e7","9b98b8c7a33c4b65b9aebfe6a799e6d9","5.64","5","426",NA,"118","20171003",NA,"13185"
"22","055a2a48b6f84b5ba3427e05e6beeb3f","2298d6c36e964ae4a3e7e9706d1fb8c2","7.94","3","540",NA,"118","20160215",NA,"3267"
"23","055a2a48b6f84b5ba3427e05e6beeb3f","fafdcd668e3743c1bb461111dcafc2a4","1.72","2","546",NA,"118","20160215",NA,"3267"
"24","056b230b94304920a5c289974acaeb0c","fafdcd668e3743c1bb461111dcafc2a4","10.7","2","354",NA,"118","20170829",NA,"11171"
"25","05746077fd824d72899e035cf893ce0e","9b98b8c7a33c4b65b9aebfe6a799e6d9","9.23","5","336",NA,"118","20160605",NA,"16560"
"26","05929d20f3c24ffe90b919936b714dc1","4d5c57ea9a6940dd891ad53e9dbe8da0","80.84","10","480",NA,"118","20161223",NA,"9577"
"27","05929d20f3c24ffe90b919936b714dc1","fafdcd668e3743c1bb461111dcafc2a4","80.84","2","480",NA,"118","20161223",NA,"9577"
"28","05929d20f3c24ffe90b919936b714dc1","2298d6c36e964ae4a3e7e9706d1fb8c2","3.13","3","642",NA,"118","20161223",NA,"9577"
"29","05cf6d57cbb042e29569cd3ca842ba42","fafdcd668e3743c1bb461111dcafc2a4","6.01","2","96",NA,"118","20160819",NA,"13526"
"30","05cf6d57cbb042e29569cd3ca842ba42","f19421c1d4aa40978ebb69ca19b0e20d","7.33","5","222",NA,"118","20160819",NA,"13526"
"31","05f5d803302a40d78b0724c86022c7cc","2298d6c36e964ae4a3e7e9706d1fb8c2","1.9","3","690",NA,"118","20150816",NA,"4388"
"32","05f7979ead604ba1947685f603023b1e","2298d6c36e964ae4a3e7e9706d1fb8c2","6.11","3","534",NA,"118","20160610",NA,"7084"
"33","0637650fd20f4bc2a7b416f44f9383d2","9b98b8c7a33c4b65b9aebfe6a799e6d9","6.28","5","534",NA,"118","20170110",NA,"7227"
"34","06b1031271174d8596c1996478f07ede","2298d6c36e964ae4a3e7e9706d1fb8c2","2.38","3","138",NA,"118","20150809",NA,"539"
"35","06b1031271174d8596c1996478f07ede","2906b810c7d4411798c6938adc9daaa5","1.67","2","624",NA,"118","20150809",NA,"539"
"36","06ef15a17adf4d7189287d691d3965e4","2298d6c36e964ae4a3e7e9706d1fb8c2","1.83","3","624",NA,"118","20171123",NA,"2354"
"37","06f7365ea14649b4a54935bd2fa6f5e3","9b98b8c7a33c4b65b9aebfe6a799e6d9","8.75","5","582",NA,"118","20160626",NA,"8878"
"38","072290a7410e49d3a1e45a89c92c58f3","2298d6c36e964ae4a3e7e9706d1fb8c2","2.29","3","432",NA,"118","20180118",NA,"9409"
"39","072290a7410e49d3a1e45a89c92c58f3","2298d6c36e964ae4a3e7e9706d1fb8c2","6.84","3","468",NA,"118","20180118",NA,"9409"
"40","07c0543d781742cb94db14afb1420e2a","2906b810c7d4411798c6938adc9daaa5","7.06","2","678",NA,"118","20160420",NA,"3979"
