"","person_id","offer_id","spent_amount","reward_paid","time","gender","age","became_member_on","income","profile_number"
"1","00116118485d4dfda04fdbaba9a87b5c",NA,"0.7",NA,"294",NA,"118","20180425",NA,"4435"
"2","00116118485d4dfda04fdbaba9a87b5c",NA,"0.2",NA,"456",NA,"118","20180425",NA,"4435"
"3","00116118485d4dfda04fdbaba9a87b5c",NA,"3.19",NA,"474",NA,"118","20180425",NA,"4435"
"4","0063def0f9c14bc4805322a488839b32",NA,"2.76",NA,"30",NA,"118","20180615",NA,"13623"
"5","0063def0f9c14bc4805322a488839b32",NA,"2.06",NA,"228",NA,"118","20180615",NA,"13623"
"6","0063def0f9c14bc4805322a488839b32",NA,"2.39",NA,"390",NA,"118","20180615",NA,"13623"
"7","0069a50874d846438e58acff5e594725",NA,"16.2",NA,"162",NA,"118","20160503",NA,"3214"
"8","0069a50874d846438e58acff5e594725",NA,"0.6",NA,"396",NA,"118","20160503",NA,"3214"
"9","0069a50874d846438e58acff5e594725",NA,"3.61",NA,"438",NA,"118","20160503",NA,"3214"
"10","0069a50874d846438e58acff5e594725",NA,"5.12",NA,"618",NA,"118","20160503",NA,"3214"
"11","0092a132ead946ceb30d11a1ed513d20",NA,"0.74",NA,"174",NA,"118","20180502",NA,"12910"
"12","0092a132ead946ceb30d11a1ed513d20",NA,"0.48",NA,"354",NA,"118","20180502",NA,"12910"
"13","0092a132ead946ceb30d11a1ed513d20",NA,"1.32",NA,"552",NA,"118","20180502",NA,"12910"
"14","009d10c2c38a4fd795a7bc6ddbbddb78",NA,"3.65",NA,"30",NA,"118","20180627",NA,"5667"
"15","009d10c2c38a4fd795a7bc6ddbbddb78",NA,"1.06",NA,"48",NA,"118","20180627",NA,"5667"
"16","009d10c2c38a4fd795a7bc6ddbbddb78",NA,"3.03",NA,"150",NA,"118","20180627",NA,"5667"
"17","009d10c2c38a4fd795a7bc6ddbbddb78",NA,"0.74",NA,"204",NA,"118","20180627",NA,"5667"
"18","009d10c2c38a4fd795a7bc6ddbbddb78",NA,"0.72",NA,"288",NA,"118","20180627",NA,"5667"
"19","009d10c2c38a4fd795a7bc6ddbbddb78",NA,"2.51",NA,"480",NA,"118","20180627",NA,"5667"
"20","009d10c2c38a4fd795a7bc6ddbbddb78",NA,"0.07",NA,"684",NA,"118","20180627",NA,"5667"
"21","00ad4c2cace94f67a6354ec90d6c6f45",NA,"4.89",NA,"126",NA,"118","20160818",NA,"13674"
"22","00ad4c2cace94f67a6354ec90d6c6f45",NA,"0.53",NA,"204",NA,"118","20160818",NA,"13674"
"23","00ad4c2cace94f67a6354ec90d6c6f45",NA,"3.98",NA,"240",NA,"118","20160818",NA,"13674"
"24","00ad4c2cace94f67a6354ec90d6c6f45",NA,"0.51",NA,"264",NA,"118","20160818",NA,"13674"
"25","00ad4c2cace94f67a6354ec90d6c6f45",NA,"1.31",NA,"366",NA,"118","20160818",NA,"13674"
"26","00ad4c2cace94f67a6354ec90d6c6f45",NA,"5.75",NA,"450",NA,"118","20160818",NA,"13674"
"27","00ad4c2cace94f67a6354ec90d6c6f45",NA,"1.44",NA,"540",NA,"118","20160818",NA,"13674"
"28","00ad4c2cace94f67a6354ec90d6c6f45",NA,"2.32",NA,"624",NA,"118","20160818",NA,"13674"
"29","00b5fb9d842d437e83033ad9e36f7148",NA,"2.98",NA,"480",NA,"118","20180127",NA,"14840"
"30","00b5fb9d842d437e83033ad9e36f7148",NA,"0.91",NA,"522",NA,"118","20180127",NA,"14840"
"31","00b5fb9d842d437e83033ad9e36f7148",NA,"3.85",NA,"660",NA,"118","20180127",NA,"14840"
"32","0100dbd4e8554aa69b73b6ac0547f6bf",NA,"2.14",NA,"54",NA,"118","20171228",NA,"9191"
"33","0100dbd4e8554aa69b73b6ac0547f6bf",NA,"1.4",NA,"384",NA,"118","20171228",NA,"9191"
"34","0100dbd4e8554aa69b73b6ac0547f6bf",NA,"3.01",NA,"672",NA,"118","20171228",NA,"9191"
"35","0106d19a26af41288035afc4b9b6c2c2",NA,"3",NA,"138",NA,"118","20160503",NA,"7868"
"36","0106d19a26af41288035afc4b9b6c2c2",NA,"2.1",NA,"156",NA,"118","20160503",NA,"7868"
"37","0106d19a26af41288035afc4b9b6c2c2",NA,"4.77",NA,"222",NA,"118","20160503",NA,"7868"
"38","0106d19a26af41288035afc4b9b6c2c2",NA,"0.55",NA,"360",NA,"118","20160503",NA,"7868"
"39","0106d19a26af41288035afc4b9b6c2c2",NA,"0.77",NA,"414",NA,"118","20160503",NA,"7868"
"40","0106d19a26af41288035afc4b9b6c2c2",NA,"0.31",NA,"480",NA,"118","20160503",NA,"7868"
"41","0106d19a26af41288035afc4b9b6c2c2",NA,"0.85",NA,"546",NA,"118","20160503",NA,"7868"
"42","0106d19a26af41288035afc4b9b6c2c2",NA,"1.4",NA,"678",NA,"118","20160503",NA,"7868"
"43","0106d19a26af41288035afc4b9b6c2c2",NA,"0.85",NA,"714",NA,"118","20160503",NA,"7868"
"44","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"1.33",NA,"36",NA,"118","20171211",NA,"3318"
"45","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"1.51",NA,"168",NA,"118","20171211",NA,"3318"
"46","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"1.06",NA,"192",NA,"118","20171211",NA,"3318"
"47","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"0.83",NA,"366",NA,"118","20171211",NA,"3318"
"48","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"0.21",NA,"426",NA,"118","20171211",NA,"3318"
"49","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"0.87",NA,"522",NA,"118","20171211",NA,"3318"
"50","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"0.89",NA,"540",NA,"118","20171211",NA,"3318"
"51","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"0.14",NA,"558",NA,"118","20171211",NA,"3318"
"52","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"1.11",NA,"606",NA,"118","20171211",NA,"3318"
"53","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"1.77",NA,"636",NA,"118","20171211",NA,"3318"
"54","012ee55a90bd4d969b0d0cdfaffdf6ab",NA,"0.26",NA,"654",NA,"118","20171211",NA,"3318"
"55","0155a21497d54684a55c3bc609843768",NA,"1.4",NA,"42",NA,"118","20160405",NA,"16820"
"56","0155a21497d54684a55c3bc609843768",NA,"0.67",NA,"60",NA,"118","20160405",NA,"16820"
"57","0155a21497d54684a55c3bc609843768",NA,"0.16",NA,"66",NA,"118","20160405",NA,"16820"
"58","0155a21497d54684a55c3bc609843768",NA,"1.33",NA,"180",NA,"118","20160405",NA,"16820"
"59","0155a21497d54684a55c3bc609843768",NA,"1.46",NA,"282",NA,"118","20160405",NA,"16820"
"60","0155a21497d54684a55c3bc609843768",NA,"0.1",NA,"432",NA,"118","20160405",NA,"16820"
"61","0155a21497d54684a55c3bc609843768",NA,"0.52",NA,"540",NA,"118","20160405",NA,"16820"
"62","0155a21497d54684a55c3bc609843768",NA,"1.68",NA,"636",NA,"118","20160405",NA,"16820"
"63","0155a21497d54684a55c3bc609843768",NA,"0.12",NA,"666",NA,"118","20160405",NA,"16820"
"64","0155a21497d54684a55c3bc609843768",NA,"0.5",NA,"696",NA,"118","20160405",NA,"16820"
"65","0193c118afe84208b33ffeb1dcb277d8",NA,"3.84",NA,"534",NA,"118","20180427",NA,"6872"
"66","0193c118afe84208b33ffeb1dcb277d8",NA,"2.21",NA,"672",NA,"118","20180427",NA,"6872"
"67","01e91c5bc14148b2a4de0ce819e4c500",NA,"1.45",NA,"150",NA,"118","20170424",NA,"8655"
"68","01e91c5bc14148b2a4de0ce819e4c500",NA,"0.69",NA,"192",NA,"118","20170424",NA,"8655"
"69","01e91c5bc14148b2a4de0ce819e4c500",NA,"0.43",NA,"210",NA,"118","20170424",NA,"8655"
"70","01e91c5bc14148b2a4de0ce819e4c500",NA,"0.32",NA,"276",NA,"118","20170424",NA,"8655"
"71","01e91c5bc14148b2a4de0ce819e4c500",NA,"1.79",NA,"318",NA,"118","20170424",NA,"8655"
"72","01e91c5bc14148b2a4de0ce819e4c500",NA,"0.21",NA,"456",NA,"118","20170424",NA,"8655"
"73","01e91c5bc14148b2a4de0ce819e4c500",NA,"0.15",NA,"522",NA,"118","20170424",NA,"8655"
"74","01e91c5bc14148b2a4de0ce819e4c500",NA,"0.69",NA,"612",NA,"118","20170424",NA,"8655"
